"Time of Day","Process Name","PID","Operation","Path","Result","Detail"
"22:50:16.1030393","TinyPix.WinUIGate.exe","9332","RegCreateKey","HKU\S-1-5-21-<redacted>\SOFTWARE\Microsoft\Windows\CurrentVersion\Themes\Personalize","SUCCESS","Desired Access: Notify, Disposition: REG_OPENED_EXISTING_KEY"
"22:50:16.1032206","TinyPix.WinUIGate.exe","9332","RegCreateKey","HKU\S-1-5-21-<redacted>\Control Panel\Colors","SUCCESS","Desired Access: Notify, Disposition: REG_OPENED_EXISTING_KEY"
"22:50:16.1033550","TinyPix.WinUIGate.exe","9332","RegCreateKey","HKU\S-1-5-21-<redacted>\Software\Microsoft\Windows\CurrentVersion\Explorer\Accent","SUCCESS","Desired Access: Notify, Disposition: REG_OPENED_EXISTING_KEY"
"22:50:34.9609209","TinyPix.WinUIGate.exe","9332","RegSetValue","HKLM\System\CurrentControlSet\Services\bam\State\UserSettings\S-1-5-21-<redacted>\\Device\HarddiskVolume4\Users\<user>\AppData\Local\Temp\TinyPix-WinUI-Gate\bin\Debug\net10.0-windows10.0.19041.0\win-x64\TinyPix.WinUIGate.exe","SUCCESS","Type: REG_BINARY, Length: 24, Data: 59 E0 AA 73 E9 19 DD 01 00 00 00 00 00 00 00 00"
"22:50:36.6562392","TinyPix.WinUIGate.exe","2768","RegCreateKey","HKU\S-1-5-21-<redacted>\SOFTWARE\Microsoft\Windows\CurrentVersion\Themes\Personalize","SUCCESS","Desired Access: Notify, Disposition: REG_OPENED_EXISTING_KEY"
"22:50:36.6563333","TinyPix.WinUIGate.exe","2768","RegCreateKey","HKU\S-1-5-21-<redacted>\Control Panel\Colors","SUCCESS","Desired Access: Notify, Disposition: REG_OPENED_EXISTING_KEY"
"22:50:36.6563894","TinyPix.WinUIGate.exe","2768","RegCreateKey","HKU\S-1-5-21-<redacted>\Software\Microsoft\Windows\CurrentVersion\Explorer\Accent","SUCCESS","Desired Access: Notify, Disposition: REG_OPENED_EXISTING_KEY"
"22:50:44.6464738","TinyPix.WinUIGate.exe","2768","RegCreateKey","HKU\S-1-5-21-<redacted>\Software\Microsoft\Windows\CurrentVersion\Explorer\FileExts\.png\OpenWithList","SUCCESS","Desired Access: Read/Write, Disposition: REG_OPENED_EXISTING_KEY"
"22:50:44.7018682","TinyPix.WinUIGate.exe","2768","RegCreateKey","HKU\S-1-5-21-<redacted>\Software\Microsoft\Windows\CurrentVersion\Explorer\FileExts\.png\OpenWithList","SUCCESS","Desired Access: Read/Write, Disposition: REG_OPENED_EXISTING_KEY"
"22:50:44.7277486","TinyPix.WinUIGate.exe","2768","RegCreateKey","HKU\S-1-5-21-<redacted>\Software\Microsoft\Windows\CurrentVersion\Explorer\FileExts\.png\OpenWithList","SUCCESS","Desired Access: Read/Write, Disposition: REG_OPENED_EXISTING_KEY"
"22:50:44.7436920","TinyPix.WinUIGate.exe","2768","RegCreateKey","HKU\S-1-5-21-<redacted>\Software\Microsoft\Windows\CurrentVersion\Explorer\FileExts\.png\OpenWithList","SUCCESS","Desired Access: Read/Write, Disposition: REG_OPENED_EXISTING_KEY"
"22:50:48.5435372","TinyPix.WinUIGate.exe","2768","RegCreateKey","HKCR\Local Settings\Software\Microsoft\Windows\CurrentVersion\AppModel\Deployment\Package\*\S-1-5-21-<redacted>\{B8C6654A-6437-4D7D-84A0-1D03F69E0A73}","SUCCESS","Desired Access: Notify, Disposition: REG_OPENED_EXISTING_KEY"
